"Freq [GHz]","substrateThickness [mm]","stripWidth [um]","dB(S(1,2)) []"
2,0.075,398.736708035871,-0.154157702133681
2,0.075,409.352794016234,-0.159530351094417
2,0.075,410.580366223675,-0.176379448840828
2,0.075,410.793932859758,-0.147784315518871
2,0.075,412.601294985413,-0.160206113433821
2,0.075,412.625824229513,-0.16019749038206
2,0.075,414.876298451301,-0.1521115295159
2,0.075,415.461841294666,-0.164345636228385
2,0.075,415.894510629143,-0.173860594215761
2,0.075,416.83239223816,-0.170515129618265
2,0.075,417.45180349737,-0.178710453482966
2,0.075,417.480107973605,-0.158319919062945
2,0.075,417.508807848341,-0.16039028256147
2,0.075,418.1478473107,-0.153211234867343
2,0.075,418.171310885233,-0.159140879177165
2,0.075,418.236708035871,-0.178503155805513
2,0.075,418.245105725659,-0.194748542404344
2,0.075,418.265613059069,-0.149293240403991
2,0.075,418.268201996968,-0.176316444493109
2,0.075,418.320684933751,-0.174554115675616
2,0.075,418.334942247673,-0.190339234452795
2,0.075,418.358077574831,-0.17258675837437
2,0.075,418.498735524361,-0.188903714790245
2,0.075,418.503912692486,-0.172165324182654
2,0.075,419.211061745681,-0.152374845635831
2,0.075,419.440024486627,-0.167421788414614
2,0.075,419.641023833582,-0.173576973263075
2,0.075,420.578905442598,-0.188467282019552
2,0.075,420.743819807329,-0.177632316186591
2,0.075,420.780748521747,-0.173816429876834
2,0.075,423.847591842229,-0.181585659264542
2,0.075,423.872121086329,-0.175699270754068
2,0.075,426.259365481857,-0.165950796316739
2,0.075,434.376298451301,-0.191402792970106
2.08163265306122,0.075,398.736708035871,-0.164139179253595
2.08163265306122,0.075,409.352794016234,-0.170020029372081
2.08163265306122,0.075,410.580366223675,-0.18806486034097
2.08163265306122,0.075,410.793932859758,-0.157358654499961
2.08163265306122,0.075,412.601294985413,-0.170775477239959
2.08163265306122,0.075,412.625824229513,-0.170714982294077
2.08163265306122,0.075,414.876298451301,-0.162047321876325
2.08163265306122,0.075,415.461841294666,-0.175143225285014
2.08163265306122,0.075,415.894510629143,-0.185408308319431
2.08163265306122,0.075,416.83239223816,-0.18181700743632
2.08163265306122,0.075,417.45180349737,-0.190673749797935
2.08163265306122,0.075,417.480107973605,-0.168789104329315
2.08163265306122,0.075,417.508807848341,-0.170916054631024
2.08163265306122,0.075,418.1478473107,-0.163241136170026
2.08163265306122,0.075,418.171310885233,-0.169578315162773
2.08163265306122,0.075,418.236708035871,-0.190349096746442
2.08163265306122,0.075,418.245105725659,-0.207487519935518
2.08163265306122,0.075,418.265613059069,-0.159005566244602
2.08163265306122,0.075,418.268201996968,-0.188029805744545
2.08163265306122,0.075,418.320684933751,-0.186115335273611
2.08163265306122,0.075,418.334942247673,-0.203072237723924
2.08163265306122,0.075,418.358077574831,-0.184068227937638
2.08163265306122,0.075,418.498735524361,-0.201590973445759
2.08163265306122,0.075,418.503912692486,-0.183566671774705
2.08163265306122,0.075,419.211061745681,-0.162330831501107
2.08163265306122,0.075,419.440024486627,-0.178518014605497
2.08163265306122,0.075,419.641023833582,-0.185106652651253
2.08163265306122,0.075,420.578905442598,-0.201085936589105
2.08163265306122,0.075,420.743819807329,-0.189522393047982
2.08163265306122,0.075,420.780748521747,-0.185259395786376
2.08163265306122,0.075,423.847591842229,-0.19373494490545
2.08163265306122,0.075,423.872121086329,-0.1874574361771
2.08163265306122,0.075,426.259365481857,-0.176965741849464
2.08163265306122,0.075,434.376298451301,-0.204258293255763
2.16326530612245,0.075,398.736708035871,-0.17433737655164
2.16326530612245,0.075,409.352794016234,-0.180751363663789
2.16326530612245,0.075,410.580366223675,-0.200014952318629
2.16326530612245,0.075,410.793932859758,-0.167144368421029
2.16326530612245,0.075,412.601294985413,-0.181591615271494
2.16326530612245,0.075,412.625824229513,-0.181471151137302
2.16326530612245,0.075,414.876298451301,-0.172195140350829
2.16326530612245,0.075,415.461841294666,-0.186181719685957
2.16326530612245,0.075,415.894510629143,-0.197214865727331
2.16326530612245,0.075,416.83239223816,-0.193380291993105
2.16326530612245,0.075,417.45180349737,-0.202918293915322
2.16326530612245,0.075,417.480107973605,-0.179497813029697
2.16326530612245,0.075,417.508807848341,-0.181683655478796
2.16326530612245,0.075,418.1478473107,-0.173498609312125
2.16326530612245,0.075,418.171310885233,-0.180251784784876
2.16326530612245,0.075,418.236708035871,-0.202444552289877
2.16326530612245,0.075,418.245105725659,-0.220599434699072
2.16326530612245,0.075,418.265613059069,-0.168933402875781
2.16326530612245,0.075,418.268201996968,-0.200008179337352
2.16326530612245,0.075,418.320684933751,-0.197938585598043
2.16326530612245,0.075,418.334942247673,-0.21609136672519
2.16326530612245,0.075,418.358077574831,-0.195817852453482
2.16326530612245,0.075,418.498735524361,-0.214563676436316
2.16326530612245,0.075,418.503912692486,-0.195215822096641
2.16326530612245,0.075,419.211061745681,-0.172513665078886
2.16326530612245,0.075,419.440024486627,-0.189882637127521
2.16326530612245,0.075,419.641023833582,-0.196893906134822
2.16326530612245,0.075,420.578905442598,-0.213985902158441
2.16326530612245,0.075,420.743819807329,-0.201690008623076
2.16326530612245,0.075,420.780748521747,-0.197082716710924
2.16326530612245,0.075,423.847591842229,-0.206162969153796
2.16326530612245,0.075,423.872121086329,-0.19948310413965
2.16326530612245,0.075,426.259365481857,-0.188234479933908
2.16326530612245,0.075,434.376298451301,-0.217403322563017
2.24489795918367,0.075,398.736708035871,-0.184738382833246
2.24489795918367,0.075,409.352794016234,-0.191709916505445
2.24489795918367,0.075,410.580366223675,-0.212212231185847
2.24489795918367,0.075,410.793932859758,-0.177127592066835
2.24489795918367,0.075,412.601294985413,-0.192640013789183
2.24489795918367,0.075,412.625824229513,-0.192451264123786
2.24489795918367,0.075,414.876298451301,-0.182539047964665
2.24489795918367,0.075,415.461841294666,-0.197447297106628
2.24489795918367,0.075,415.894510629143,-0.209263846437511
2.24489795918367,0.075,416.83239223816,-0.205189644724682
2.24489795918367,0.075,417.45180349737,-0.215428352775314
2.24489795918367,0.075,417.480107973605,-0.190431933792563
2.24489795918367,0.075,417.508807848341,-0.192677574609758
2.24489795918367,0.075,418.1478473107,-0.183969595056658
2.24489795918367,0.075,418.171310885233,-0.191146457364892
2.24489795918367,0.075,418.236708035871,-0.214770589390366
2.24489795918367,0.075,418.245105725659,-0.234050526913812
2.24489795918367,0.075,418.265613059069,-0.179063141765344
2.24489795918367,0.075,418.268201996968,-0.21223469374224
2.24489795918367,0.075,418.320684933751,-0.21000745236637
2.24489795918367,0.075,418.334942247673,-0.229376728705517
2.24489795918367,0.075,418.358077574831,-0.207820497740533
2.24489795918367,0.075,418.498735524361,-0.227802836664373
2.24489795918367,0.075,418.503912692486,-0.207095887717479
2.24489795918367,0.075,419.211061745681,-0.182908736756793
2.24489795918367,0.075,419.440024486627,-0.201501579567905
2.24489795918367,0.075,419.641023833582,-0.208922400067926
2.24489795918367,0.075,420.578905442598,-0.227148791006216
2.24489795918367,0.075,420.743819807329,-0.214119071713631
2.24489795918367,0.075,420.780748521747,-0.209094788851868
2.24489795918367,0.075,423.847591842229,-0.218852266594361
2.24489795918367,0.075,423.872121086329,-0.211759873623112
2.24489795918367,0.075,426.259365481857,-0.199741429428372
2.24489795918367,0.075,434.376298451301,-0.230818890357226
2.3265306122449,0.075,398.736708035871,-0.195327982040713
2.3265306122449,0.075,409.352794016234,-0.202880933432603
2.3265306122449,0.075,410.580366223675,-0.22463878566435
2.3265306122449,0.075,410.793932859758,-0.187294064852248
2.3265306122449,0.075,412.601294985413,-0.203905906206561
2.3265306122449,0.075,412.625824229513,-0.203640260396646
2.3265306122449,0.075,414.876298451301,-0.193055531551167
2.3265306122449,0.075,415.461841294666,-0.208928074181026
2.3265306122449,0.075,415.894510629143,-0.221538473279451
2.3265306122449,0.075,416.83239223816,-0.217229843540443
2.3265306122449,0.075,417.45180349737,-0.228187741663605
2.3265306122449,0.075,417.480107973605,-0.201576944914428
2.3265306122449,0.075,417.508807848341,-0.20388221549839
2.3265306122449,0.075,418.1478473107,-0.194639713322276
2.3265306122449,0.075,418.171310885233,-0.20224705783768
2.3265306122449,0.075,418.236708035871,-0.227306837541791
2.3265306122449,0.075,418.245105725659,-0.247792002875904
2.3265306122449,0.075,418.265613059069,-0.189380775250536
2.3265306122449,0.075,418.268201996968,-0.224692110222043
2.3265306122449,0.075,418.320684933751,-0.222305098571288
2.3265306122449,0.075,418.334942247673,-0.242908236255156
2.3265306122449,0.075,418.358077574831,-0.220060583114995
2.3265306122449,0.075,418.498735524361,-0.241289149674991
2.3265306122449,0.075,418.503912692486,-0.219189557310798
2.3265306122449,0.075,419.211061745681,-0.19350131710539
2.3265306122449,0.075,419.440024486627,-0.213359894774371
2.3265306122449,0.075,419.641023833582,-0.221175366362474
2.3265306122449,0.075,420.578905442598,-0.24055574591305
2.3265306122449,0.075,420.743819807329,-0.226793721843693
2.3265306122449,0.075,420.780748521747,-0.221313120802015
2.3265306122449,0.075,423.847591842229,-0.231785054920301
2.3265306122449,0.075,423.872121086329,-0.22427090788769
2.3265306122449,0.075,426.259365481857,-0.211470739180734
2.3265306122449,0.075,434.376298451301,-0.244485535153406
2.40816326530612,0.075,398.736708035871,-0.206091664201385
2.40816326530612,0.075,409.352794016234,-0.214249381034849
2.40816326530612,0.075,410.580366223675,-0.237276361026458
2.40816326530612,0.075,410.793932859758,-0.197629203381962
2.40816326530612,0.075,412.601294985413,-0.215374295017742
2.40816326530612,0.075,412.625824229513,-0.215022791885895
2.40816326530612,0.075,414.876298451301,-0.203688095039266
2.40816326530612,0.075,415.461841294666,-0.220620652049877
2.40816326530612,0.075,415.894510629143,-0.234021649162301
2.40816326530612,0.075,416.83239223816,-0.229486892104655
2.40816326530612,0.075,417.45180349737,-0.24117988387616
2.40816326530612,0.075,417.480107973605,-0.212917963745304
2.40816326530612,0.075,417.508807848341,-0.215281894072073
2.40816326530612,0.075,418.1478473107,-0.205494303807066
2.40816326530612,0.075,418.171310885233,-0.213537917173163
2.40816326530612,0.075,418.236708035871,-0.240031152165079
2.40816326530612,0.075,418.245105725659,-0.261783018660898
2.40816326530612,0.075,418.265613059069,-0.199871947867988
2.40816326530612,0.075,418.268201996968,-0.237362877922969
2.40816326530612,0.075,418.320684933751,-0.234814333977403
2.40816326530612,0.075,418.334942247673,-0.25666566419861
2.40816326530612,0.075,418.358077574831,-0.232522148822446
2.40816326530612,0.075,418.498735524361,-0.255003039518508
2.40816326530612,0.075,418.503912692486,-0.231479154052331
2.40816326530612,0.075,419.211061745681,-0.204276557799791
2.40816326530612,0.075,419.440024486627,-0.225439220590443
2.40816326530612,0.075,419.641023833582,-0.23363566127641
2.40816326530612,0.075,420.578905442598,-0.254187513666035
2.40816326530612,0.075,420.743819807329,-0.23969965857883
2.40816326530612,0.075,420.780748521747,-0.233725331903568
2.40816326530612,0.075,423.847591842229,-0.244943275515358
2.40816326530612,0.075,423.872121086329,-0.236998992151677
2.40816326530612,0.075,426.259365481857,-0.223406311569745
2.40816326530612,0.075,434.376298451301,-0.258383433056183
2.48979591836735,0.075,398.736708035871,-0.217014644010087
2.48979591836735,0.075,409.352794016234,-0.225799983103345
2.48979591836735,0.075,410.580366223675,-0.250106425965539
2.48979591836735,0.075,410.793932859758,-0.208118168206647
